    Bruto   AliqINSS    Val.INSS      Base I.R.    AliqIR        Val.IR       Liquido
  5900.00        0.0        0.00        5900.00      27.5        753.14       5146.86
  1415.36        8.0      113.23        1302.13       0.0          0.00       1302.13
 15000.00        0.0        0.00       15000.00      27.5       3255.64      11744.36
  2091.56        9.0      188.24        1903.32       0.0          0.00       1903.32
  2235.00        9.0      201.15        2033.85       7.5          0.00       2033.85
  2239.00        9.0      201.51        2037.49       7.5         10.01       2027.48
 20000.00        0.0        0.00       20000.00      27.5       4630.64      15369.36
  3176.10       11.0      349.37        2826.73      15.0         69.21       2757.52
  3178.90       11.0      349.68        2829.22      15.0         69.58       2759.64
  9000.00        0.0        0.00        9000.00      27.5       1605.64       7394.36
  4214.50       11.0      463.60        3750.90      15.0        207.84       3543.07
  3176.00       11.0      349.36        2826.64       7.5         69.20       2757.44
  5241.00       11.0      576.51        4664.49      22.5        413.38       4251.11
  2093.10        9.0      188.38        1904.72       7.5          0.00       1904.72
  5242.00       11.0      576.62        4665.38      27.5        413.62       4251.76
 10000.00        0.0        0.00       10000.00      27.5       1880.64       8119.36
  4215.00       11.0      463.65        3751.35      22.5        207.92       3543.43
  6500.00        0.0        0.00        6500.00      27.5        918.14       5581.86
 12000.00        0.0        0.00       12000.00      27.5       2430.64       9569.36
  1752.20        9.0      157.70        1594.50       0.0          0.00       1594.50
